timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129125.3785,rest,-59.222,80.565,125.766,-15.228,-156.221,50.477,-10.74,8.088,75.981,-59.222
1775129126.8886,rest,-81.903,2.132,135.608,-13.025,-178.376,35.0,-13.404,14.22,68.204,-81.903
1775129128.3914,rest,-79.296,-19.096,138.371,-13.753,-179.373,29.564,-13.005,14.373,66.799,-79.296
1775129129.9012,rest,-78.444,-12.795,138.148,-13.316,-179.025,27.035,-12.79,14.217,65.918,-78.444
1775129131.4808,rest,-79.145,-4.538,138.595,-13.767,-178.608,26.822,-13.177,14.403,64.767,-79.145
1775129132.9838,rest,-79.447,-7.671,141.357,-14.307,-178.309,20.956,-12.727,14.498,61.979,-79.447
1775129134.4874,rest,-78.911,-3.142,140.339,-13.319,-179.287,20.927,-13.589,15.223,61.998,-78.911
1775129136.1849,rest,-78.515,-13.673,139.135,-13.911,-179.576,20.919,-13.014,12.773,59.072,-78.515
1775129137.928,rest,-78.142,-6.187,139.668,-13.668,-178.702,22.227,-12.308,14.566,58.49,-78.142
1775129139.584,rest,-78.803,-20.744,140.201,-14.256,-179.71,21.045,-12.271,15.376,58.422,-78.803
1775129141.2416,rest,-77.999,-17.583,140.455,-14.396,-179.485,20.731,-11.794,14.624,58.732,-77.999
1775129142.96,rest,-78.254,-17.052,140.558,-14.63,-179.42,20.913,-11.981,14.961,58.888,-78.254
1775129144.6265,rest,-78.395,-27.259,141.962,-14.943,-179.827,21.096,-12.627,15.525,61.167,-78.395
1775129146.2948,rest,-75.728,-25.893,142.528,-13.913,-179.139,19.766,-12.409,14.611,61.507,-75.728
1775129148.0184,rest,-75.399,-24.248,142.477,-13.972,-179.175,19.506,-12.649,14.819,62.352,-75.399
1775129149.6788,rest,-74.783,-26.565,142.268,-14.295,-178.564,19.497,-11.382,14.446,62.409,-74.783
1775129151.3434,rest,-73.95,-26.289,141.656,-14.294,-179.231,19.313,-12.909,13.931,61.905,-73.95
1775129153.0704,rest,-74.016,-29.662,142.642,-14.436,-179.587,19.504,-11.205,13.931,62.185,10.83
1775129154.6356,rest,-73.85,-25.672,142.075,-14.019,-178.422,19.362,-11.193,14.473,61.944,11.1
1775129199.4683,rest,-74.025,32.119,150.766,-11.741,-178.128,27.826,-11.598,10.651,64.304,-74.025
1775129201.1307,rest,-73.272,-34.442,152.894,-12.955,-179.553,28.117,-14.427,14.908,64.018,14.31
1775129202.7067,rest,-73.986,-20.58,154.165,-14.079,-179.633,28.441,-12.835,14.973,64.534,25.13
1775129204.3331,rest,-74.602,-19.568,151.718,-13.493,-178.953,29.841,-12.966,14.26,64.321,24.54
1775129205.8968,rest,-71.577,-17.327,151.561,-13.506,-179.591,30.219,-13.132,15.414,64.385,19.24
1775129207.4632,rest,-72.933,-20.755,143.09,-14.229,179.749,21.889,-13.222,14.618,61.528,20.22
1775129209.0383,rest,-73.13,-21.023,141.998,-13.917,-179.695,21.62,-12.524,14.499,61.223,23.31
1775129210.6869,rest,-72.953,-19.908,141.226,-13.647,-178.024,22.449,-13.038,14.619,61.004,-72.953
1775129212.3547,rest,-73.608,-20.19,142.714,-14.017,-178.756,21.017,-12.939,14.002,61.332,-73.608
1775129214.0189,rest,-72.951,-19.9,143.427,-13.921,-179.629,20.893,-13.356,14.048,61.704,-72.951
1775129215.7425,rest,-73.842,-19.957,142.423,-14.132,-179.974,20.801,-13.111,14.504,61.569,-73.842
1775129217.4038,rest,-73.68,-22.496,141.456,-13.809,-179.487,20.661,-13.522,14.063,61.802,-73.68
1775129219.0625,rest,-73.44,-22.032,142.23,-13.252,-178.008,19.647,-12.895,13.318,61.992,-73.44
1775129220.7429,rest,-72.692,-20.735,141.674,-14.57,-179.24,19.613,-12.431,14.133,62.087,-72.692
1775129222.4622,rest,-73.622,-22.659,141.423,-14.78,-179.868,20.673,-12.054,14.344,61.353,-73.622
1775129224.1317,rest,-73.348,-22.9,141.604,-14.592,-179.017,21.038,-12.178,15.058,61.319,-73.348
1775129225.8031,rest,-74.108,-22.796,141.657,-14.24,-179.314,21.233,-12.778,14.67,61.196,-74.108
1775129227.5281,rest,-73.649,-21.82,142.111,-14.676,180.0,21.337,-12.503,14.908,61.641,-73.649
1775129229.1844,rest,-74.429,-21.504,141.765,-14.086,-179.842,21.804,-13.076,15.834,61.374,-74.429
1775129352.9441,rest,-71.407,62.254,151.405,-11.218,-176.287,25.322,-14.776,12.003,62.618,-71.407
1775129354.6084,rest,-72.254,-25.813,152.657,-13.563,-179.45,25.286,-13.365,14.472,62.919,-72.254
1775129356.2766,rest,-73.621,-18.177,153.217,-14.056,-179.021,25.204,-11.603,14.996,62.899,-73.621
1775129357.9936,rest,-72.935,-19.92,152.521,-13.625,-179.987,24.99,-12.664,14.381,62.334,-72.935
1775129359.6493,rest,-73.2,-17.132,153.094,-13.891,179.934,24.343,-12.182,14.831,62.322,-73.2
1775129361.3154,rest,-73.253,-19.185,143.326,-14.065,-178.925,20.04,-12.631,15.34,61.888,-73.253
1775129363.0482,rest,-73.019,-20.785,142.467,-14.3,-179.842,19.758,-12.772,15.233,61.33,-73.019
1775129364.7108,rest,-73.283,-19.697,142.086,-14.685,179.76,19.756,-12.838,14.876,61.3,15.71
1775129366.2761,rest,-73.086,-20.545,141.87,-14.256,179.424,19.676,-11.88,14.982,61.317,12.77
1775129367.8443,rest,-73.302,-19.398,141.357,-14.027,-179.542,19.721,-12.759,15.224,61.389,-73.302
1775129369.565,rest,-72.838,-20.629,141.228,-14.166,179.419,20.221,-12.019,15.138,60.867,-72.838
1775129371.2374,rest,-73.562,-21.613,140.93,-14.447,179.684,20.114,-11.965,14.542,61.467,-73.562
1775129372.8939,rest,-73.612,-23.609,140.769,-14.354,-179.561,20.505,-12.488,14.891,61.552,-73.612
1775129374.6174,rest,-73.318,-21.08,140.742,-14.262,-179.947,20.387,-12.216,14.316,61.664,-73.318
